total_patients
--------------
3819          
avg_billing_amount
------------------
25434.91          
avg_length_of_stay
------------------
15.76             
total_billing_amount
--------------------
97822651.58         
pct_emergency_admissions
------------------------
33.31                   
Test_Results  admissions  avg_billing_amount  avg_length_of_stay
------------  ----------  ------------------  ------------------
Abnormal      1288        25248.17            15.61             
Normal        1285        25648.97            15.76             
Inconclusive  1273        25407.77            15.9              
Gomez Group                        1           22818.36            27.0                22818.36            
Gomez Gilmore, and Lozano          1           1503.64             2.0                 1503.64             
Gillespie-Escobar                  1           22853.16            7.0                 22853.16            
Gill, and Casey Martinez           1           14361.09            6.0                 14361.09            
Gill PLC                           1           20163.41            3.0                 20163.41            
Giles-Wilson                       1           27772.05            7.0                 27772.05            
Gilbert-King                       1           23890.48            8.0                 23890.48            
Gilbert-Castaneda                  1           36216.16            12.0                36216.16            
Gilbert, Morgan and Bowman         1           26641.68            1.0                 26641.68            
Gilbert Ltd                        1           39660.8             29.0                39660.8             
Gibson-Banks                       1           31701.93            7.0                 31701.93            
Gibson Ltd                         1           19939.73            5.0                 19939.73            
Gibson Inc                         1           10820.12            24.0                10820.12            
Gibbs Ltd                          1           32950.57            11.0                32950.57            
George-Walker                      1           3404.41             1.0                 3404.41             
George-Smith                       1           22747.26            26.0                22747.26            
George-Brown                       1           32248.77            2.0                 32248.77            
George Vasquez, Russell and        1           38397.83            16.0                38397.83            
George Ltd                         1           44684.95            5.0                 44684.95            
Gentry-Walker                      1           17450.39            3.0                 17450.39            
Gay Inc                            1           9482.03             30.0                9482.03             
Gates, Jenkins Johnston and        1           15368.75            3.0                 15368.75            
Garza-Williams                     1           45198.89            10.0                45198.89            
Garza-Bell                         1           15931.85            7.0                 15931.85            
Garza, Carroll and Hernandez       1           2991.66             21.0                2991.66             
Garza Ltd                          1           45546.67            3.0                 45546.67            
Garrison Yates, Mcgee and          1           5628.83             19.0                5628.83             
Garner Martin Hall, and            1           41592.27            14.0                41592.27            
Gardner-Moreno                     1           33056.65            29.0                33056.65            
Gardner and Russell, Frazier       1           27921.23            25.0                27921.23            
Garcia-Smith                       1           46056.91            6.0                 46056.91            
Garcia-Norton                      1           17663.4             30.0                17663.4             
Garcia-Jackson                     1           16749.55            17.0                16749.55            
Garcia-Hayes                       1           4662.59             21.0                4662.59             
Garcia-Chavez                      1           33993.55            8.0                 33993.55            
Garcia-Blake                       1           28483.88            23.0                28483.88            
Garcia, and Moore Collins          1           41217.41            6.0                 41217.41            
Garcia, Durham Smith and           1           33899.45            15.0                33899.45            
Garcia Ltd                         1           43274.63            23.0                43274.63            
Garcia Johnson, and Cordova        1           15339.99            4.0                 15339.99            
Garcia Inc                         1           20607.6             29.0                20607.6             
Gallegos-Brooks                    1           9470.99             29.0                9470.99             
Gallagher-Christian                1           37182.33            19.0                37182.33            
Gallagher Inc                      1           9185.67             24.0                9185.67             
Gallagher Group                    1           42576.91            7.0                 42576.91            
Gallagher Clark, House and         1           14216.52            26.0                14216.52            
Fuller-Jones                       1           44734.19            17.0                44734.19            
Fuller-Carney                      1           29714.31            14.0                29714.31            
Fuller-Anderson                    1           5075.37             14.0                5075.37             
Fuller, Stone and Clements         1           9196.36             22.0                9196.36             
Fuller Sloan Barrera, and          1           3813.26             8.0                 3813.26             
Fuller Perez Scott, and            1           23890.56            18.0                23890.56            
Fuentes, and Harris Woods          1           24069.94            28.0                24069.94            
Frye-Johnson                       1           3712.74             30.0                3712.74             
Frye Owens and Kennedy,            1           6408.51             26.0                6408.51             
Fry-Wade                           1           6114.3              20.0                6114.3              
Fry-Hunt                           1           48416.8             20.0                48416.8             
Fry, Vega and Bass                 1           42957.32            7.0                 42957.32            
Fry Inc                            1           47503.43            10.0                47503.43            
Fritz Henderson Stanton, and       1           45902.71            10.0                45902.71            
Friedman-Smith                     1           23091.88            10.0                23091.88            
French Wilson, and Woods           1           41395.39            12.0                41395.39            
Freeman-Mcfarland                  1           37278.36            17.0                37278.36            
Freeman-Cruz                       1           3743.87             3.0                 3743.87             
Freeman and Brown, Haney           1           19393.15            15.0                19393.15            
Frederick and Kennedy, Phillips    1           13090.65            23.0                13090.65            
Frazier LLC                        1           22179.54            14.0                22179.54            
Franklin-Sanchez                   1           9160.84             23.0                9160.84             
Frank-Briggs                       1           44714.59            24.0                44714.59            
Franco-James                       1           35106.1             17.0                35106.1             
Franco-Hill                        1           13694.15            8.0                 13694.15            
Fox and Sons                       1           8879.15             19.0                8879.15             
Fox and Phillips Elliott,          1           13337.95            30.0                13337.95            
Fowler, Taylor and Hamilton        1           7164.29             10.0                7164.29             
Fowler and Grant Thomas,           1           40254.06            23.0                40254.06            
Foster-Matthews                    1           5301.41             21.0                5301.41             
Foster-Hall                        1           47728.55            17.0                47728.55            
Foster and Hayes, Tucker           1           18108.86            5.0                 18108.86            
Foster Taylor, and Morris          1           22276.04            6.0                 22276.04            
Foster Sons and                    1           31331.1             7.0                 31331.1             
Foster Phillips, Abbott and        1           14651.25            19.0                14651.25            
Foster LLC                         1           12231.76            16.0                12231.76            
Ford-Garner                        1           5301.17             12.0                5301.17             
Ford-Burns                         1           40397.85            21.0                40397.85            
Forbes, Patel Garza and            1           36283.55            29.0                36283.55            
Foley-Marsh                        1           11215.87            13.0                11215.87            
Foley-Johnson                      1           22999.35            6.0                 22999.35            
Foley-Estrada                      1           19727.31            19.0                19727.31            
Foley Smith, Morrison and          1           11396.78            20.0                11396.78            
Flynn-Caldwell                     1           28684.95            11.0                28684.95            
Floyd Group                        1           26239.3             14.0                26239.3             
Flores-Watts                       1           44170.04            13.0                44170.04            
Flores-Powell                      1           41899.12            20.0                41899.12            
Flores-Parker                      1           40482.61            16.0                40482.61            
Flores-Garcia                      1           33895.65            8.0                 33895.65            
Flores-Clark                       1           7342.67             25.0                7342.67             
Flores, and Wright Bradley         1           13857.23            24.0                13857.23            
Flores Martinez and Hughes,        1           25503.81            4.0                 25503.81            
Flores Hanson and Bryan,           1           15313.44            6.0                 15313.44            
Flores Group                       1           48679.94            30.0                48679.94            
Fletcher PLC                       1           45724.89            27.0                45724.89            
Fletcher Ltd                       1           38685.26            26.0                38685.26            
Fleming, and Frey Wong             1           13256.25            17.0                13256.25            
Fisher-Rogers                      1           30849.15            1.0                 30849.15            
Fisher-Madden                      1           22925.81            17.0                22925.81            
Fisher-Burch                       1           39411.65            1.0                 39411.65            
Fischer Williams, and Conner       1           15636.28            23.0                15636.28            
Figueroa-Young                     1           29632.15            28.0                29632.15            
Figueroa-Floyd                     1           44765.99            4.0                 44765.99            
Figueroa and Sons                  1           24188.34            26.0                24188.34            
Figueroa and Livingston Bowers,    1           5703.3              29.0                5703.3              
Fields-Weber                       1           36525.11            9.0                 36525.11            
Fields and Robinson Lee,           1           45180.27            16.0                45180.27            
Fernandez and Phillips, Singh      1           30590.54            17.0                30590.54            
Fernandez PLC                      1           21408.56            30.0                21408.56            
Fernandez Group                    1           22441.29            25.0                22441.29            
Ferguson-White                     1           16911.42            27.0                16911.42            
Ferguson-West                      1           7991.89             6.0                 7991.89             
Ferguson-Taylor                    1           46253.88            30.0                46253.88            
Ferguson-Fisher                    1           46979.01            21.0                46979.01            
Ferguson Lewis, Foster and         1           41187.34            25.0                41187.34            
Farmer-Santos                      1           2876.03             11.0                2876.03             
Farmer, and Jackson Price          1           23452.73            16.0                23452.73            
Farmer LLC                         1           6687.64             14.0                6687.64             
Farley-Payne                       1           6847.84             9.0                 6847.84             
Farley and Ortiz Martinez,         1           48161.18            9.0                 48161.18            
Farley Payne and Walker,           1           18557.22            10.0                18557.22            
Ewing Carr Watson, and             1           8896.02             12.0                8896.02             
Everett, and Obrien Reeves         1           33133.43            14.0                33133.43            
Evans-Johnson                      1           1553.65             15.0                1553.65             
Evans-Flores                       1           22324.57            29.0                22324.57            
Evans Ltd                          1           48104.29            28.0                48104.29            
Estrada-Ramsey                     1           34925.23            3.0                 34925.23            
Estrada-Navarro                    1           41514.76            10.0                41514.76            
Estrada-Martin                     1           6482.05             11.0                6482.05             
Estes-Palmer                       1           42017.33            25.0                42017.33            
Estes Nguyen, Green and            1           6446.81             15.0                6446.81             
Espinoza-Flores                    1           13866.2             21.0                13866.2             
Escobar, and Landry Robinson       1           25311.62            26.0                25311.62            
Escobar Parks and Brown,           1           27115.01            25.0                27115.01            
Escobar Group                      1           2515.88             19.0                2515.88             
Erickson-Martinez                  1           8842.37             5.0                 8842.37             
Erickson-Flowers                   1           32524.47            26.0                32524.47            
English-Hale                       1           30851.0             8.0                 30851.0             
Ellison and Sharp Mcguire,         1           14705.56            13.0                14705.56            
Ellis-Thomas                       1           47251.07            26.0                47251.07            
Ellis-Horn                         1           33427.71            18.0                33427.71            
Ellis-Carroll                      1           40565.74            17.0                40565.74            
Ellis, Hopkins Davis and           1           44446.88            23.0                44446.88            
Ellis Wilkerson Perez, and         1           36346.15            28.0                36346.15            
Ellis Mcdaniel and Stark,          1           18662.23            20.0                18662.23            
Ellis Ltd                          1           12664.1             25.0                12664.1             
Ellis LLC                          1           45165.78            11.0                45165.78            
Elliott-Jackson                    1           24281.37            16.0                24281.37            
Elliott, and Davis Sanchez         1           6327.46             5.0                 6327.46             
Edwards-Rodriguez                  1           25904.43            8.0                 25904.43            
Edwards, Daniels Garcia and        1           25261.18            5.0                 25261.18            
Eaton-Grimes                       1           19489.39            27.0                19489.39            
Durham Group                       1           48862.2             24.0                48862.2             
Duran-Durham                       1           20935.89            11.0                20935.89            
Duran Sons and                     1           5811.63             17.0                5811.63             
Duran Navarro Torres, and          1           36045.06            14.0                36045.06            
Dunn-Figueroa                      1           8824.97             24.0                8824.97             
Dunlap Martin Murphy, and          1           40740.94            19.0                40740.94            
Duncan, Kerr Mitchell and          1           31404.34            25.0                31404.34            
Duncan LLC                         1           42565.47            22.0                42565.47            
Duke-Rubio                         1           45808.7             27.0                45808.7             
Duke Ltd                           1           5268.87             22.0                5268.87             
Duffy-Brown                        1           26779.56            26.0                26779.56            
Dudley-Trevino                     1           18302.84            2.0                 18302.84            
Dudley-Shepherd                    1           37715.07            23.0                37715.07            
Dudley-Miller                      1           31556.18            25.0                31556.18            
Duarte LLC                         1           15775.97            12.0                15775.97            
Downs, Mckee Smith and             1           31737.26            24.0                31737.26            
Douglas-Burton                     1           39720.61            19.0                39720.61            
Douglas, Walter and Parsons        1           40260.05            19.0                40260.05            
Dorsey-Lopez                       1           30659.76            21.0                30659.76            
Dorsey Mcconnell and Collins,      1           13504.78            2.0                 13504.78            
Donovan-Johnson                    1           17050.56            14.0                17050.56            
Donaldson LLC                      1           21905.04            28.0                21905.04            
Dominguez-Figueroa                 1           39747.81            17.0                39747.81            
Dominguez Ltd                      1           47138.38            6.0                 47138.38            
Dixon-Ponce                        1           20928.31            14.0                20928.31            
Dixon-Burns                        1           17630.64            27.0                17630.64            
Dixon, Jones and Christensen       1           21984.65            17.0                21984.65            
Dillon Inc                         1           33309.34            11.0                33309.34            
Dickerson-Perry                    1           44639.52            16.0                44639.52            
Dickerson-David                    1           49461.88            16.0                49461.88            
Diaz-Wells                         1           49065.87            27.0                49065.87            
Diaz-Case                          1           39381.12            27.0                39381.12            
Diaz-Carroll                       1           14345.03            10.0                14345.03            
Diaz and Thompson Evans,           1           36009.44            9.0                 36009.44            
Diaz Molina and Patel,             1           28921.77            3.0                 28921.77            
Diaz Mccarthy Kidd, and            1           37383.04            26.0                37383.04            
Diaz Ltd                           1           13967.86            1.0                 13967.86            
Diaz Inc                           1           32136.51            16.0                32136.51            
Diaz Harris King, and              1           47759.48            23.0                47759.48            
Dennis-Young                       1           41863.7             28.0                41863.7             
Dennis Group                       1           37681.0             27.0                37681.0             
Delgado Inc                        1           49185.4             24.0                49185.4             
Deleon and Dennis Holland,         1           6426.63             22.0                6426.63             
Deleon and Allen, Huynh            1           49652.72            21.0                49652.72            
Deleon PLC                         1           27506.64            14.0                27506.64            
Deleon Inc                         1           33992.57            5.0                 33992.57            
Delacruz Inc                       1           49749.29            3.0                 49749.29            
Dean-Martinez                      1           3932.39             8.0                 3932.39             
Dean PLC                           1           33991.96            17.0                33991.96            
Day-Rodriguez                      1           44034.04            19.0                44034.04            
Day-King                           1           23018.36            27.0                23018.36            
Day Williams, and Wilkinson        1           16136.89            30.0                16136.89            
Day Ltd                            1           33499.39            21.0                33499.39            
Dawson-Terry                       1           46014.65            11.0                46014.65            
Dawson-Mendoza                     1           8910.11             30.0                8910.11             
Dawson and Duncan, Perez           1           33399.6             21.0                33399.6             
Dawson Martin, Medina and          1           35695.57            5.0                 35695.57            
Dawson Inc                         1           21616.58            6.0                 21616.58            
Davis-Sharp                        1           27461.55            20.0                27461.55            
Davis-Jones                        1           10647.04            25.0                10647.04            
Davis-Gomez                        1           23364.0             29.0                23364.0             
Davis-Freeman                      1           25874.5             25.0                25874.5             
Davis-Alexander                    1           40450.81            29.0                40450.81            
Davis, and Abbott Carr             1           44477.48            7.0                 44477.48            
Davis, Peck and Moreno             1           43532.36            4.0                 43532.36            
Davis, Bailey and Tran             1           17821.97            26.0                17821.97            
Davis and Rodriguez Smith,         1           49079.09            11.0                49079.09            
Davis and Gutierrez Freeman,       1           30554.93            25.0                30554.93            
Davis Wood Kemp, and               1           16075.01            26.0                16075.01            
Davis Maddox Harris, and           1           11064.03            25.0                11064.03            
Davis Ltd                          1           28428.01            15.0                28428.01            
Davis Group                        1           47061.14            7.0                 47061.14            
Davis Ewing and Hudson,            1           34371.88            24.0                34371.88            
Davis Elliott and Anderson,        1           22580.85            13.0                22580.85            
Davila-Harding                     1           10653.47            17.0                10653.47            
Davidson-King                      1           12114.19            8.0                 12114.19            
Davidson, Richards and Grant       1           42415.95            26.0                42415.95            
Davenport-Bentley                  1           49348.67            28.0                49348.67            
Davenport and Sons                 1           22929.09            8.0                 22929.09            
Daniel-Anderson                    1           33606.64            10.0                33606.64            
Curry Smith, and Bryant            1           15047.46            23.0                15047.46            
Curry Miller and Padilla,          1           20909.85            30.0                20909.85            
Curry LLC                          1           25424.73            9.0                 25424.73            
Cunningham Powell and Sanchez,     1           13552.77            1.0                 13552.77            
Cummings-Norman                    1           34049.29            8.0                 34049.29            
Cuevas-Cruz                        1           18841.09            18.0                18841.09            
Cruz-Jimenez                       1           3767.64             14.0                3767.64             
Cruz-Jackson                       1           23466.95            1.0                 23466.95            
Cruz-Hayes                         1           29175.83            2.0                 29175.83            
Cruz-Baker                         1           4034.35             12.0                4034.35             
Cross, Underwood King and          1           34742.21            6.0                 34742.21            
Cross, Johnson Simpson and         1           42067.13            27.0                42067.13            
Cross PLC                          1           3760.71             27.0                3760.71             
Crawford-Lee                       1           20129.58            21.0                20129.58            
Crawford, King and Todd            1           48705.47            10.0                48705.47            
Crawford Alvarez and Johnson,      1           37916.98            30.0                37916.98            
Craig-Gordon                       1           22183.45            1.0                 22183.45            
Craig-Garcia                       1           15367.41            17.0                15367.41            
Cox-Hester                         1           10352.21            9.0                 10352.21            
Cox-Diaz                           1           47184.38            23.0                47184.38            
Cox-Brown                          1           39664.35            14.0                39664.35            
Cox, Hess and Smith                1           44882.51            28.0                44882.51            
Cox Group                          1           30633.95            17.0                30633.95            
Cox Booth, and Lee                 1           2771.43             16.0                2771.43             
Cowan Cardenas Allen, and          1           6257.13             21.0                6257.13             
Costa and Carlson, Horton          1           42935.22            6.0                 42935.22            
Cooper-Bush                        1           31644.77            15.0                31644.77            
Cooper-Barnett                     1           10715.5             3.0                 10715.5             
Cooper and Hawkins, Lowe           1           37099.16            6.0                 37099.16            
Cooper Rodriguez, Taylor and       1           47664.41            21.0                47664.41            
Cooley-Howell                      1           32857.62            5.0                 32857.62            
Cook-Suarez                        1           22998.61            24.0                22998.61            
Cook-Neal                          1           45873.53            18.0                45873.53            
Cook-Hurst                         1           22506.86            9.0                 22506.86            
Cook, Wang Diaz and                1           36390.31            25.0                36390.31            
Cook and Tapia Hughes,             1           24108.4             3.0                 24108.4             
Cook Smith, and Bryant             1           33513.87            19.0                33513.87            
Cook PLC                           1           14618.8             20.0                14618.8             
Cook Ltd                           1           36397.27            6.0                 36397.27            
Cook Inc                           1           43161.54            4.0                 43161.54            
Contreras-Vasquez                  1           39086.85            18.0                39086.85            
Contreras Group                    1           47612.33            20.0                47612.33            
Conner-Vasquez                     1           29342.45            18.0                29342.45            
Conner-Ritter                      1           32110.9             21.0                32110.9             
Conner-Howard                      1           7974.15             28.0                7974.15             
Conner-Carter                      1           11185.09            28.0                11185.09            
Conley-Torres                      1           21450.84            14.0                21450.84            
Conley and Sons                    1           2821.67             16.0                2821.67             
Compton-Gordon                     1           50033.26            7.0                 50033.26            
Compton-Fields                     1           5720.84             16.0                5720.84             
Combs Sons and                     1           6566.83             10.0                6566.83             
Combs Group                        1           46569.77            22.0                46569.77            
Colon LLC                          1           12891.63            8.0                 12891.63            
Collier LLC                        1           7730.51             21.0                7730.51             
Coleman-Norton                     1           21266.5             11.0                21266.5             
Coleman PLC                        1           2405.54             29.0                2405.54             
Cole-Rodriguez                     1           11664.0             16.0                11664.0             
Cole-Burke                         1           2873.15             6.0                 2873.15             
Cole-Adams                         1           4761.72             4.0                 4761.72             
Cole and Nelson, Davies            1           38907.68            27.0                38907.68            
Cole and Franklin Benson,          1           31783.51            7.0                 31783.51            
Cohen-Gillespie                    1           36515.52            3.0                 36515.52            
Cohen, Villanueva Mitchell and     1           8821.64             9.0                 8821.64             
Cobb-Zimmerman                     1           44003.64            6.0                 44003.64            
Cline-Watson                       1           43748.82            12.0                43748.82            
Cline-Johnson                      1           22572.96            26.0                22572.96            
Clements Riddle, Wilson and        1           34063.79            20.0                34063.79            
Clements Miller, and Kramer        1           49017.44            8.0                 49017.44            
Clay-Perez                         1           42683.17            23.0                42683.17            
Clarke-King                        1           30735.48            29.0                30735.48            
Clark-Williams                     1           22561.56            8.0                 22561.56            
Clark-Tran                         1           45594.89            28.0                45594.89            
Clark-Perry                        1           20010.62            7.0                 20010.62            
Clark-Lara                         1           48173.46            29.0                48173.46            
Clark-Holloway                     1           44817.28            10.0                44817.28            
Clark-Becker                       1           22108.03            26.0                22108.03            
Clark-Arnold                       1           11212.44            23.0                11212.44            
Clark, and Scott Benjamin          1           27520.95            19.0                27520.95            
Clark, and Doyle Jimenez           1           32445.1             27.0                32445.1             
Clark Rasmussen, Nelson and        1           24659.44            21.0                24659.44            
Clark Powell and Sullivan,         1           5377.45             6.0                 5377.45             
Clark Oliver and Jones,            1           24519.03            3.0                 24519.03            
Clark Miller Harris, and           1           14147.22            13.0                14147.22            
Clark Ltd                          1           9121.17             10.0                9121.17             
Clark LLC                          1           20913.73            14.0                20913.73            
Clark Brown, and Myers             1           35776.82            4.0                 35776.82            
Cisneros Phillips and Rivera,      1           20589.95            12.0                20589.95            
Church, Smith and Rose             1           43904.71            2.0                 43904.71            
Church, Ochoa and Johnson          1           41676.96            12.0                41676.96            
Christian-Hall                     1           34510.88            17.0                34510.88            
Christian Garcia and Hahn,         1           24015.22            9.0                 24015.22            
Christensen-Villanueva             1           13957.14            2.0                 13957.14            
Christensen Hardy Parker, and      1           36706.49            24.0                36706.49            
Chen-Poole                         1           37702.05            28.0                37702.05            
Chen-Jackson                       1           38492.06            25.0                38492.06            
Chen-Hicks                         1           47706.9             7.0                 47706.9             
Chavez-Williamson                  1           32755.58            20.0                32755.58            
Chavez-Randolph                    1           36323.6             9.0                 36323.6             
Chavez-Marshall                    1           37351.82            15.0                37351.82            
Chavez and Gonzales Johnson,       1           14011.76            21.0                14011.76            
Chavez and Flores Barton,          1           8914.34             14.0                8914.34             
Chavez Ryan, and Nelson            1           29353.29            29.0                29353.29            
Chapman-Hutchinson                 1           40437.22            11.0                40437.22            
Chapman, and Edwards Bush          1           16053.52            29.0                16053.52            
Chapman, Palmer George and         1           3508.99             22.0                3508.99             
Chapman PLC                        1           22671.3             28.0                22671.3             
Chapman Inc                        1           42680.74            24.0                42680.74            
Chandler-Pham                      1           34272.28            26.0                34272.28            
Chandler and Smith, Cohen          1           21398.42            22.0                21398.42            
Chandler Russell, Harrington and   1           42077.19            1.0                 42077.19            
Chan Ltd                           1           16422.83            7.0                 16422.83            
Cervantes Inc                      1           40592.93            19.0                40592.93            
Castro-Ford                        1           5263.7              30.0                5263.7              
Castro Rodriguez, and Casey        1           10676.94            1.0                 10676.94            
Castillo-Mays                      1           23643.83            20.0                23643.83            
Castaneda-Martinez                 1           15900.3             26.0                15900.3             
Carter-Diaz                        1           40733.64            5.0                 40733.64            
Carter-Camacho                     1           45438.91            9.0                 45438.91            
Carter-Banks                       1           41499.27            10.0                41499.27            
Carter PLC                         1           11768.18            18.0                11768.18            
Carson-Johnson                     1           13351.43            14.0                13351.43            
Carson LLC                         1           44227.92            29.0                44227.92            
Carroll-Huff                       1           11564.62            11.0                11564.62            
Carr Williams Perry, and           1           41233.45            22.0                41233.45            
Carr Harris, and Martinez          1           22755.34            1.0                 22755.34            
Carpenter and Henson, Murray       1           10682.55            17.0                10682.55            
Carpenter Inc                      1           28774.1             3.0                 28774.1             
Carney-Solis                       1           3476.17             14.0                3476.17             
Carlson-Yang                       1           31548.19            5.0                 31548.19            
Carlson-Holland                    1           7381.42             9.0                 7381.42             
Carlson Ramos, Newman and          1           29015.61            10.0                29015.61            
Carlson Powell and Johnson,        1           43073.66            20.0                43073.66            
Carlson LLC                        1           38752.19            23.0                38752.19            
Carlson Hicks, Fitzgerald and      1           30317.26            9.0                 30317.26            
Carey-Saunders                     1           25936.9             5.0                 25936.9             
Carey Romero, and Osborne          1           42900.48            6.0                 42900.48            
Cantu-Spears                       1           26765.44            3.0                 26765.44            
Cantu-Davis                        1           21444.81            29.0                21444.81            
Cantrell Hamilton and Jones,       1           48952.58            12.0                48952.58            
Cannon-Murphy                      1           13040.96            23.0                13040.96            
Cannon-Dorsey                      1           37291.17            20.0                37291.17            
Cannon PLC                         1           47615.65            10.0                47615.65            
Campos-Webster                     1           32386.56            23.0                32386.56            
Campos, and Ramirez Walters        1           47259.83            11.0                47259.83            
Campos LLC                         1           6407.89             27.0                6407.89             
Campbell-Martinez                  1           3197.5              6.0                 3197.5              
Campbell-Hughes                    1           48033.01            18.0                48033.01            
Campbell-Bridges                   1           49611.46            23.0                49611.46            
Campbell-Arroyo                    1           9434.46             30.0                9434.46             
Campbell, and Moore Mcguire        1           20857.37            20.0                20857.37            
Campbell, Russell and Smith        1           10403.02            18.0                10403.02            
Campbell and Garcia Watson,        1           11330.77            9.0                 11330.77            
Campbell Nichols, Garcia and       1           10664.69            5.0                 10664.69            
Campbell Glenn, Clark and          1           17204.5             18.0                17204.5             
Cameron-Choi                       1           17862.32            23.0                17862.32            
Camacho Ltd                        1           9806.37             12.0                9806.37             
Callahan, Williams Foley and       1           40326.15            23.0                40326.15            
Caldwell-Velez                     1           40374.19            18.0                40374.19            
Caldwell-Boyd                      1           50502.27            21.0                50502.27            
Caldwell Taylor, Wright and        1           30771.97            2.0                 30771.97            
Caldwell Snyder, Smith and         1           21419.27            25.0                21419.27            
Calderon, Bush and Martin          1           27398.67            21.0                27398.67            
Cain-Robbins                       1           43673.27            23.0                43673.27            
Cain-Patton                        1           27225.32            2.0                 27225.32            
Cain-Horton                        1           33545.74            24.0                33545.74            
Cain LLC                           1           6285.78             10.0                6285.78             
Cabrera Barnes, Harper and         1           26686.2             16.0                26686.2             
Byrd, and Hughes Johnson           1           3081.22             27.0                3081.22             
Butler-Matthews                    1           2552.82             24.0                2552.82             
Butler, Harper Simpson and         1           40902.98            19.0                40902.98            
Butler PLC                         1           22456.57            30.0                22456.57            
Butler Group                       1           8340.97             30.0                8340.97             
Bush-Schmitt                       1           9754.4              1.0                 9754.4              
Bush-Brown                         1           17813.93            22.0                17813.93            
Burton-Smith                       1           44853.09            9.0                 44853.09            
Burton-Garcia                      1           40521.7             4.0                 40521.7             
Burton-Chambers                    1           42266.51            14.0                42266.51            
Burton Robertson, Wilson and       1           28460.6             26.0                28460.6             
Burns-Smith                        1           5264.18             2.0                 5264.18             
